label_italian,label_english,category
abbonamento,subscription,railway station
abitare,living ; to live,common life
acqua,water,common life
affitto,rent,common life
allegare,attach,education
allergia,allergy,hospital
ambulanza,ambulance,hospital
amministrazione,administration,public institute
ancona,ancona,public institute
andata,gone ; on the way there,railway station
andata_e_ritorno,round trip ; on the way there and back ; return,railway station
annullato,canceled,railway station
aperto,open,common life
arrivo,arrive ; arrival,railway station
ascoli,ascoli,public institute
asilo_nido,nursery,education
assente,absent,education
assessore,assessor ; council member,public institute
assistente,assistant,public institute
assistente_alla_comunicazione,communication assistant,public institute
autostrada,highway,highway
avviso,notice,education
banca,bank,public institute
bidello,janitor,education
biglietto,ticket,railway station
binario,tracks,railway station
bocciato,failed,education
caldo,hot,common life
cambio,change,railway station
casa,home ; house,common life
casello,tool booth,highway
chiuso,close,common life
cibo,food,common life
civitanova,civitanova,public institute
commissione,commission,education
compilare,compile,public institute
comune,municipality,public institute
consegnare,deliver,common life
costo,cost,common life
cura,cure,hospital
data,date,public institute
diploma,diploma,education
dirigente,executive,public institute
disinfettare,disinfect,hospital
dolore,pain,hospital
domani,tomorrow,railway station
domenica,sunday,railway station
elementari,elementary,education
emergenza,emergency,hospital
ente_pubblico,public body,public institute
entro,within ; by,education
esame,exam,education
falconara,falconara,public institute
fano,fano,public institute
fermo,stopped ; still,railway station
flebo,intravenous drip,hospital
freddo,cold,common life
giallo,yellow,hospital
giorni,days,railway station
giorno,day,railway station
giovedì,thursday,railway station
giudizio,judgement,education
ieri,yesterday,railway station
impiegato,employee,public institute
infermiere,nurse,hospital
infezione,infection,hospital
iniezione,injection,hospital
interprete,interpreter,public institute
inviare_sms,messaging,common life
istituto,institute,education
jesi,jesi,public institute
laurea,degree,education
lingua_dei_segni,sign language,common life
litro,liter,common life
lunedì,monday,railway station
macerata,macerata,public institute
malattia,disease,hospital
mangiare,eat ; to eat,common life
marca_da_bollo,revenue stamp,public institute
marche,marche,public institute
martedì,tuesday,railway station
mattina,morning,railway station
medico,doctor ; medic,hospital
medie,middle school,education
mercoledì,wednesday,railway station
mesi,months,railway station
modello,model,public institute
modulo,module,public institute
multa,fine,highway
nota,note,education
notte,night,railway station
obliterare,obliterate ; stamp,railway station
obliteratrice,stamping machine,railway station
oggi,today,railway station
operazione,operation ; transaction,hospital
orari,times ; hours,railway station
ospedale,hospital,hospital
partenza,departure,railway station
pesaro-urbino,pesaro-urbino,public institute
pomeriggio,afternoon,railway station
posta,mail ; post office,public institute
presente,present,education
preside,principal ; headmaster ; dean,education
professore,professor,education
promosso,promoted ; passed,education
pronto_soccorso,emergency room ; first aid,hospital
provincia,province,public institute
pubblica,public,public institute
rallentamenti,slowdowns ; road slowdowns,highway
regione,region,public institute
registro,register,education
ricevuta,receipt,public institute
ritardo,delay,railway station
ritirare_il_numero,take the number ; take a number ; get the ticket ; get a ticket,public institute
ritorno,return,railway station
roma,rome ; roma,public institute
rosso,red,hospital
s.benedetto,s.benedetto ; san benedetto,public institute
sabato,saturday,railway station
sala_d’attesa,waiting room,hospital
scadenza,expiration ; deadline,education
sciopero,strike,railway station
scontrino,till receipt ; cash register receipt,public institute
scuola,school,education
scuola_materna,preschool ; pre school ; pre-school,education
segretario,secretary,education
senigallia,senigallia,public institute
sera,evening,railway station
sil,silence sign,common life
sindaco,mayor,public institute
sostegno,support,education
sportello,door ; counter,public institute
stazione,station,railway station
strada,road,highway
studente,student,education
superiori,high school ; superiors,education
tassa,tax,public institute
tecnico,technician,highway
telefono,phone ; telephone,common life
torino,turin ; torino,public institute
traffico,traffic,highway
tratta,section ; road section,highway
treno,train,railway station
ufficio_informazioni,information office,public institute
università,university,education
vacanze,vacation ; holiday,common life
venerdì,friday,railway station
verde,green,hospital
voto,grade,education
