label_italian,label_english
abbonamento,subscription
abitare,live
acqua,water
affitto,rent
allegare,attach
allergia,allergy
ambulanza,ambulance
amministrazione,administration
ancona,ancona
andata, one-way
andata_e_ritorno,round-trip
annullato,cancel
aperto,open
arrivo,arrive
ascoli,ascoli
asilo_nido,nursery
assente,absent
assessore,councillor
assistente,assistant
assistente_alla_comunicazione,communication assistant
autostrada,highway
avviso,notice
banca,bank
bidello,janitor
biglietto,ticket
binario,tracks
bocciato,failed
caldo,hot
cambio,change
casa,house
casello,toll-booth
chiuso,close
cibo,food
civitanova,civitanova
commissione,commission
compilare,compile
comune,municipality
consegnare,deliver
costo,cost
cura,cure
data,date
diploma,diploma
dirigente,executive
disinfettare,disinfect
dolore,pain
domani,tomorrow
domenica,sunday
elementari,elementary
emergenza,emergency
ente_pubblico,public-agency
entro,by
esame,exam
falconara,falconara
fano,fano
fermo,stop
flebo,iv-drip
freddo,cold
giallo,yellow
giorni,days
giorno,day
giovedì,thursday
giudizio,judgement
ieri,yesterday
impiegato,employee
infermiere,nurse
infezione,infection
iniezione,injection
interprete,interpreter
inviare_sms,text
istituto,institute
jesi,jesi
laurea,degree
lingua_dei_segni,sign-language
litro,liter
lunedì,monday
macerata,macerata
malattia,disease
mangiare,eat
marca_da_bollo,revenue-stamp
marche,marche
martedì,tuesday
mattina,morning
medico,doctor
medie,middle-school
mercoledì,wednesday
mesi,months
modello,model
modulo,module
multa,fine
nota,note
notte,night
obliterare, stamp
obliteratrice,stamp-machine
oggi,today
operazione,operation 
orari,schedule
ospedale,hospital
partenza,departure
pesaro-urbino,pesaro-urbino
pomeriggio,afternoon
posta,mail
presente,present
preside,headmaster
professore,professor
promosso,pass
pronto_soccorso,emergency room
provincia,province
pubblica,public
rallentamenti,traffic jam
regione,region
registro,register
ricevuta,receipt
ritardo,delay
ritirare_il_numero,take-the-number
ritorno,return
roma,rome
rosso,red
s.benedetto,s.benedetto
sabato,saturday
sala_d'attesa,waiting room
scadenza,deadline
sciopero,strike
scontrino,receipt
scuola,school
scuola_materna,preschool
segretario,secretary
senigallia,senigallia
sera,evening
sil,silence sign
sindaco,mayor
sostegno,support
sportello,reception desk
stazione,station
strada,road
studente,student
superiori,high school
tassa,tax
tecnico,technician
telefono,phone
torino,turin
traffico,traffic
tratta,section
treno,train
ufficio_informazioni,information office
università,university
vacanze,holiday
venerdì,friday
verde,green
voto,grade
