label_italian,label_english,category
abbonamento,subscription,railway station
abitare,living,common life
acqua,water,common life
affitto,rent,common life
allegare,attach,education (; public institute)
allergia,allergy,hospital
ambulanza,ambulance,hospital
amministrazione,administration,public institute
ancona,ancona,public institute
andata,gone ; on the way there,railway station
andata_e_ritorno,round trip ; on the way there and back ; return,railway station
annullato,canceled,railway station
aperto,open,common life
arrivo,arrive,railway station
ascoli,ascoli,public institute
asilo_nido,nursery,education
assente,absent,education
assessore,assessor ; council member,public institute
assistente,assistant,public institute
assistente_alla_comunicazione,communication assistant,public institute
autostrada,highway,highway
avviso,notice,education
banca,bank,public institute
bidello,janitor,education
biglietto,ticket,railway station
binario,tracks,railway station
bocciato,failed,education
caldo,hot,common life
cambio,change,railway station
casa,home ; house,common life
casello,tool booth,highway
chiuso,close,common life
cibo,food,common life
civitanova,civitanova,public institute
commissione,commission,education
compilare,compile,public institute
comune,municipality,public institute
consegnare,deliver,common life
costo,cost,common life
cura,cure,hospital
data,date,common life (public institute)
diploma,diploma,education
dirigente,executive,education (; public institute)
disinfettare,disinfect,hospital
dolore,pain,hospital
domani,tomorrow,common life
domenica,sunday,common life
elementari,elementary,education
emergenza,emergency,hospital
ente_pubblico,public body,public institute
entro,within ; by,public institute ; education
esame,exam,education
falconara,falconara,public institute
fano,fano,public institute
fermo,stopped ; still,common life
flebo,intravenous drip,hospital
freddo,cold,common life
giallo,yellow,common life
giorni,days,common life
giorno,day,common life
giovedì,thursday,common life
giudizio,judgement,education
ieri,yesterday,common life
impiegato,employee,public institute
infermiere,nurse,hospital
infezione,infection,hospital
iniezione,injection,hospital
interprete,interpreter,common life
inviare_sms,messaging,common life
istituto,institute,public institute ; education
jesi,jesi,public institute
laurea,degree,education
lingua_dei_segni,sign language,common life
litro,liter,common life
lunedì,monday,common life
macerata,macerata,public institute
malattia,disease,hospital
mangiare,eat,common life
marca_da_bollo,revenue stamp,public institute
marche,marche,public institute
martedì,tuesday,common life
mattina,morning,common life
medico,doctor ; medic,hospital
medie,middle school,education
mercoledì,wednesday,common life
mesi,months,common life
modello,model,public institute
modulo,module,public institute
multa,fine,highway
nota,note,education
notte,night,common life
obliterare,obliterate ; stamp,railway station
obliteratrice,stamping machine,railway station
oggi,today,common life
operazione,operation ; transaction,hospital
orari,times ; hours,common life
ospedale,hospital,hospital
partenza,departure,railway station
pesaro-urbino,pesaro-urbino,public institute
pomeriggio,afternoon,common life
posta,mail ; post office,public institute
presente,present,common life
preside,principal ; headmaster,education
professore,professor,education
promosso,promoted ; passed,education
pronto_soccorso,emergency room,hospital
provincia,province,public institute
pubblica,public,public institute
rallentamenti,slowdowns ; road slowdowns,highway
regione,region,public institute
registro,register,education
ricevuta,receipt,common life
ritardo,delay,railway station ; common life
ritirare_il_numero,take the number ; take a number ; get the ticket ; get a ticket,public institute
ritorno,return,railway station
roma,rome ; roma,public institute
rosso,red,common life
s.benedetto,s.benedetto ; san benedetto,public institute
sabato,saturday,common life
sala_d’attesa,waiting room,hospital
scadenza,expiration ; deadline,education
sciopero,strike,common life ; education ; railway station
scontrino,till receipt ; cash register receipt,common life
scuola,school,education
scuola_materna,preschool ; pre school ; pre-school,education
segretario,secretary,education
senigallia,senigallia,public institute
sera,evening,common life
sil,silence sign,common life
sindaco,mayor,public institute
sostegno,support,education
sportello,door ; counter,public institute
stazione,station,railway station
strada,road,highway
studente,student,education
superiori,high school ; superiors,education
tassa,tax,common life
tecnico,technician,common life
telefono,phone,common life
torino,turin ; torino,public institute
traffico,traffic,highway
tratta,section ; road section,railway station
treno,train,railway station
ufficio_informazioni,information office,public institute
università,university,education
vacanze,vacation ; holiday,common life
venerdì,friday,common life
verde,green,common life
voto,grade,education
